GROUP,FAMILY,SPECIES,FEED MODE ,SIZE,MOBILITY,BIOTURBATION,STATION,TREATMENT,CORE,LAYER,COUNTS,ABUNDANCE,BIOMASS,Dry Weight_mg,Dry Weight_ug,Biomass_analysed_mg,Biomass_analysed_ug,n_analysed,Biomass.mg.C.m2,Biomass.mg.N.m2,N_µg,15N_at.percentage,δ15N_air,C_µg,δ13C_VPDB,Formalin.corrected_δ13C_VPDB,13C_at.percentage,Core area_m2,Actual_C.percentage,Actual_N.percentage,Sample_weight_mgC,Sample_weight_mgN,Sample_weight_ugC,Sample_weight_ugN,Sample_weight_ugC/m2,Sample_weight_ugN/m2,Sample_weight_mgCm2,Sample_weight_mgN/m2,Background_N_µg,Background_15N_at.percentage,Background_δ15N_air,Background_C_µg,Background_δ13C_VPDB,Background_Formalin.corrected_δ13C_VPDB,Background_13C_at.percentage,Δδ13C,R 13C sample,R 13C control,F 13C sample,F 13C control ,E 13C,I 13C_ugC,Algal labeling factor,I total_ugC,I.total..ug.C.m2.,I.total..mg.C.m2.,ug.C.mg.1,,Δδ13N,R 13N sample,R 13N control,F 13N sample,F 13N control ,E 13N,I 13C_ugN,Algal labeling factor,I total_ugN,I.total..ug.N.m2.,I.total..mg.N.m2.,ug.N.mg.1
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST407,IA,IA3,0-5cm,1,333.333,3.667,0.011,,,0,,0.928,0.244,,,,,,,,0.003,0.253,0.067,0.003,0.001,2.784,0.732,927.938,243.843,0.928,0.244,,,,,,,,,,,,,,,,,63.304,0.063,9.595,,,,,,,,,,,15.646,0.016,10.346
Crustacea,Akanthophoreidae ,Akanthophoreus gracilis,SDF,,,,ST407,IA,IA4,0-5cm,1,333.333,82,0.246,,0.246,246,1,19.915,2.332,6.996,0.372,15.565,59.744,-25.518,-24.518,1.078,0.003,0.243,0.028,0.06,0.007,59.744,6.996,19914.649,2331.876,19.915,2.332,20.025,0.372,14.441,132.334,-26.148,-25.148,1.077,0.63,0.011,0.011,0.011,0.011,0,0,0.61,0.001,0.226,0,0.011,,1.123,0.004,0.004,0.004,0.004,0,0,0.365,0,0.026,0,0.011
Polychaeta,Ampharetidae ,Amage sp.,SDF,Large,,,ST407,IA,IA4,5-10cm,1,333.333,3250.667,9.752,,1.482,1482,1,1221.785,223.321,101.814,0.376,26.358,557.02,-15.937,-14.937,1.088,0.003,0.376,0.069,3.665,0.67,3665.354,669.964,1221784.832,223321.269,1221.785,223.321,96.208,0.371,12.419,578.075,-26.808,-25.808,1.076,10.871,0.011,0.011,0.011,0.011,0,0.067,0.61,0.109,36.371,0.036,0.03,,13.94,0.004,0.004,0.004,0.004,0,0.005,0.365,0.014,4.73,0.005,0.021
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA4,5-10cm,1,333.333,1189.667,3.569,,1.474,1474,1,382.113,90.217,111.78,0.373,17.026,473.439,-22.929,-21.929,1.081,0.003,0.321,0.076,1.146,0.271,1146.34,270.652,382113.366,90217.453,382.113,90.217,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,0.484,0.011,0.011,0.011,0.011,0,0.003,0.61,0.004,1.376,0.001,0.004,,0.253,0.004,0.004,0.004,0.004,0,0,0.365,0,0.094,0,0.001
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA4,5-10cm,1,333.333,938.667,2.816,,1.374,1374,1,258.154,56.821,83.174,0.373,17.194,377.88,-23.019,-22.019,1.08,0.003,0.275,0.061,0.774,0.17,774.462,170.464,258153.837,56821.252,258.154,56.821,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,0.394,0.011,0.011,0.011,0.011,0,0.002,0.61,0.003,0.894,0.001,0.003,,0.422,0.004,0.004,0.004,0.004,0,0,0.365,0,0.117,0,0.002
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA4,0-5cm,1,333.333,725.333,2.176,,2.176,2176,1,21.957,5.073,15.218,0.941,1584.277,65.87,491.134,492.134,1.64,0.003,0.03,0.007,0.066,0.015,65.87,15.218,21956.7,5072.627,21.957,5.073,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,514.547,0.017,0.011,0.016,0.011,0.006,0.371,0.61,0.607,202.434,0.202,9.22,,1567.505,0.01,0.004,0.009,0.004,0.006,0.087,0.365,0.237,79.042,0.079,15.582
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA4,0-5cm,1,333.333,693.333,2.08,,2.08,2080,1,193.433,39.404,118.211,0.373,18.958,580.298,-23.841,-22.841,1.08,0.003,0.279,0.057,0.58,0.118,580.298,118.211,193432.647,39403.529,193.433,39.404,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,-0.428,0.011,0.011,0.011,0.011,0,-0.003,0.61,-0.004,-1.492,-0.001,-0.008,,2.185,0.004,0.004,0.004,0.004,0,0.001,0.365,0.003,0.861,0.001,0.022
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA4,5-10cm,1,333.333,573,1.719,,1.719,1719,1,141.576,31.009,93.028,0.425,162.288,424.727,103.289,104.289,1.218,0.003,0.247,0.054,0.425,0.093,424.727,93.028,141575.599,31009.428,141.576,31.009,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,126.702,0.012,0.011,0.012,0.011,0.001,0.591,0.61,0.968,322.796,0.323,2.28,,145.516,0.004,0.004,0.004,0.004,0.001,0.049,0.365,0.135,45.089,0.045,1.454
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,IA,IA4,0-5cm,1,333.333,503,1.509,,1.509,1509,1,178.554,45.121,135.364,0.373,18.483,535.663,-21.804,-20.804,1.082,0.003,0.355,0.09,0.536,0.135,535.663,135.364,178554.461,45121.494,178.554,45.121,79.941,0.372,16.475,332.038,-23.133,-22.133,1.08,1.328,0.011,0.011,0.011,0.011,0,0.008,0.61,0.013,4.274,0.004,0.024,,2.008,0.004,0.004,0.004,0.004,0,0.001,0.365,0.003,0.906,0.001,0.02
Polychaeta,Sphaerodoridae,Sphaerodoridae,SSDF,,,,ST407,IA,IA4,5-10cm,1,333.333,26.667,0.08,,,0,,8.991,2.189,,,,,,,,0.003,0.337,0.082,0.027,0.007,26.973,6.566,8990.95,2188.528,8.991,2.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,Medium,,,ST407,IA,IA4,0-5cm,1,333.333,27.667,0.083,,0.083,83,1,6.432,1.669,5.007,1.488,3108.821,19.297,1575.619,1576.619,2.799,0.003,0.232,0.06,0.019,0.005,19.297,5.007,6432.422,1669.043,6.432,1.669,18.63,0.371,13.188,76.535,-24.498,-23.498,1.079,1600.117,0.029,0.011,0.028,0.011,0.017,0.334,0.61,0.547,182.242,0.182,28.332,,3095.633,0.015,0.004,0.015,0.004,0.011,0.056,0.365,0.153,51.078,0.051,30.603
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,IA,IA4,0-5cm,2,666.667,59.333,0.178,,0.178,178,2,25.249,5.322,15.966,0.372,14.525,75.748,-20.763,-19.763,1.083,0.003,0.426,0.09,0.076,0.016,75.748,15.966,25249.38,5322.137,25.249,5.322,7.337,0.372,15.469,32.057,-23.885,-22.885,1.08,3.122,0.011,0.011,0.011,0.011,0,0.003,0.61,0.004,1.42,0.001,0.056,,-0.944,0.004,0.004,0.004,0.004,0,0,0.365,0,-0.05,0,-0.009
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST407,IA,IA4,0-5cm,1,333.333,20,0.06,,0.071,71,2,5.575,1.278,4.537,1.128,2103.367,19.792,1054.205,1055.205,2.245,0.003,0.279,0.064,0.017,0.004,16.726,3.834,5575.233,1277.956,5.575,1.278,11.331,0.373,17.89,47.566,-23.481,-22.481,1.08,1077.686,0.023,0.011,0.023,0.011,0.012,0.232,0.61,0.38,63.304,0.063,9.595,,2085.477,0.011,0.004,0.011,0.004,0.008,0.034,0.365,0.047,15.646,0.016,10.346
Cnidaria,Alcyoniidae,Alcyonium sp.,FF,,,,ST407,IA,IA5,0-5cm,1,333.333,723.333,2.17,,2.17,2170,1,72.403,12.988,38.963,0.374,20.326,217.209,-21.198,-20.198,1.082,0.003,0.1,0.018,0.217,0.039,217.209,38.963,72403.076,12987.783,72.403,12.988,14.873,0.371,11.72,72.113,-24.478,-23.478,1.079,3.28,0.011,0.011,0.011,0.011,0,0.008,0.61,0.013,4.279,0.004,0.059,,8.606,0.004,0.004,0.004,0.004,0,0.001,0.365,0.003,1.117,0.001,0.086
Polychaeta,Ampharetidae ,Amage sp.,SDF,Large,,,ST407,IA,IA5,0-5cm,1,333.333,613.333,1.84,,1.84,1840,1,246.917,44.049,132.148,0.396,82.374,740.752,32.189,33.189,1.141,0.003,0.403,0.072,0.741,0.132,740.752,132.148,246917.357,44049.201,246.917,44.049,96.208,0.371,12.419,578.075,-26.808,-25.808,1.076,58.997,0.012,0.011,0.011,0.011,0.001,0.48,0.61,0.787,262.358,0.262,1.063,,69.955,0.004,0.004,0.004,0.004,0,0.034,0.365,0.092,30.801,0.031,0.699
Polychaeta,Ampharetidae ,,SDF,,,,ST407,IA,IA5,0-5cm,1,333.333,16.333,0.049,,,0,,5.361,1.088,,,,,,,,0.003,0.328,0.067,0.016,0.003,16.082,3.265,5360.524,1088.263,5.361,1.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Lumbrineridae,Lumbrineris sp.,P/S,,,,ST407,IA,IA5,5-10cm,1,333.333,1134,3.402,,2.183,2183,1,396.807,89.823,172.913,0.372,14.6,763.87,-24.074,-23.074,1.079,0.003,0.35,0.079,1.19,0.269,1190.42,269.468,396806.564,89822.679,396.807,89.823,13.156,0.371,13.85,56.423,-24.205,-23.205,1.079,0.131,0.011,0.011,0.011,0.011,0,0.001,0.61,0.002,0.602,0.001,0.002,,0.75,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.432,0,0.005
Polychaeta,Lumbrineridae,,P/S,,,,ST407,IA,IA5,0-5cm,1,333.333,195.667,0.587,,0.587,587,1,78.951,13.273,39.819,0.372,16.253,236.854,-23.879,-22.879,1.08,0.003,0.403,0.068,0.237,0.04,236.854,39.819,78951.278,13273.096,78.951,13.273,13.156,0.371,13.85,56.423,-24.205,-23.205,1.079,0.327,0.011,0.011,0.011,0.011,0,0.001,0.61,0.001,0.465,0,0.006,,2.403,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.319,0,0.024
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,IA,IA5,5-10cm,1,333.333,1006.667,3.02,,1.911,1911,1,333.238,78.086,148.234,0.373,18.156,632.6,-22.527,-21.527,1.081,0.003,0.331,0.078,1,0.234,999.713,234.258,333237.819,78086.158,333.238,78.086,93.747,0.373,17.123,365.701,-22.724,-21.724,1.081,0.197,0.011,0.011,0.011,0.011,0,0.001,0.61,0.002,0.75,0.001,0.002,,1.033,0.004,0.004,0.004,0.004,0,0.001,0.365,0.002,0.51,0.001,0.007
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA5,0-5cm,1,333.333,423.667,1.271,,1.271,1271,1,125.309,26.511,79.532,0.373,19.313,375.926,-21.145,-20.145,1.083,0.003,0.296,0.063,0.376,0.08,375.926,79.532,125308.769,26510.798,125.309,26.511,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,2.268,0.011,0.011,0.011,0.011,0,0.009,0.61,0.015,5.121,0.005,0.041,,2.541,0.004,0.004,0.004,0.004,0,0.001,0.365,0.002,0.673,0.001,0.025
Nemertea,Nemertea,,P/S,,,,ST407,IA,IA5,0-5cm,1,333.333,64,0.192,,0.192,192,1,22.615,5.358,16.073,0.378,30.777,67.846,-6.79,-5.79,1.098,0.003,0.353,0.084,0.068,0.016,67.846,16.073,22615.329,5357.782,22.615,5.358,130.418,0.372,14.969,564.388,-24.906,-23.906,1.078,18.116,0.011,0.011,0.011,0.011,0,0.014,0.61,0.022,7.382,0.007,0.326,,15.808,0.004,0.004,0.004,0.004,0,0.001,0.365,0.003,0.847,0.001,0.158
Crustacea,Oedicerotidae ,Aceroides latipes,P/S,,,,ST407,IA,IA5,0-5cm,1,333.333,37,0.111,,0.111,111,,0,0,,,,,,,,0.003,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.009,2.863,0.003,0.241,,,,,,,,,,0.002,0.506,0.001,0.185
Crustacea,Pardaliscidae,,SSDF,,,,ST407,IA,IA5,0-5cm,1,333.333,37,0.111,,0.111,111,2,11.874,2.731,8.193,0.384,47.681,35.621,-0.614,0.386,1.105,0.003,0.321,0.074,0.036,0.008,35.621,8.193,11873.82,2731.016,11.874,2.731,5.307,0.37,10.58,31.654,-27.382,-26.382,1.076,26.768,0.011,0.011,0.011,0.011,0,0.01,0.61,0.009,2.863,0.003,0.241,,37.101,0.004,0.004,0.004,0.004,0,0.001,0.365,0.002,0.506,0.001,0.185
Crustacea,Pardaliscidae,Halice sp.,SSDF,,,,ST407,PP,PP1,0-5cm,1,333.333,533,1.599,,1.599,1599,1,282.821,30.867,92.6,0.385,52.099,848.463,-7.73,-6.73,1.097,0.003,0.531,0.058,0.848,0.093,848.463,92.6,282821.053,30866.592,282.821,30.867,5.307,0.37,10.58,31.654,-27.382,-26.382,1.076,19.652,0.011,0.011,0.011,0.011,0,0.183,0.538,0.341,113.651,0.114,0.402,,41.518,0.004,0.004,0.004,0.004,0,0.014,0.459,0.031,10.187,0.01,0.33
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,Medium,,,ST407,PP,PP1,0-5cm,1,333.333,28.333,0.085,,0.085,85,1,10.819,2.546,7.637,1.113,2061.601,32.456,846.062,847.062,2.022,0.003,0.382,0.09,0.032,0.008,32.456,7.637,10818.768,2545.7,10.819,2.546,18.63,0.371,13.188,76.535,-24.498,-23.498,1.079,870.56,0.021,0.011,0.02,0.011,0.009,0.308,0.538,0.572,190.772,0.191,17.633,,2048.414,0.011,0.004,0.011,0.004,0.007,0.057,0.459,0.123,41.15,0.041,16.165
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,PP,PP1,0-5cm,1,333.333,9.333,0.028,,,0,,1.894,0.433,,,,,,,,0.003,0.203,0.046,0.006,0.001,5.681,1.3,1893.645,433.402,1.894,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST407,PP,PP1,0-5cm,2,666.667,120,0.36,,0.36,360,2,14.445,2.795,8.385,0.374,21.797,43.335,-21.428,-20.428,1.082,0.003,0.12,0.023,0.043,0.008,43.335,8.385,14445.008,2795.165,14.445,2.795,11.331,0.373,17.89,47.566,-23.481,-22.481,1.08,2.053,0.011,0.011,0.011,0.011,0,0.001,0.538,0.002,0.606,0.001,0.042,,3.907,0.004,0.004,0.004,0.004,0,0,0.459,0,0.087,0,0.031
Crustacea,Ampeliscidae,Haploops sp.,FF,,,,ST407,PP,PP2,0-5cm,1,333.333,35,0.105,,0.105,105,1,10.555,1.986,5.959,0.389,61.745,31.665,-15.204,-14.204,1.089,0.003,0.302,0.057,0.032,0.006,31.665,5.959,10554.986,1986.201,10.555,1.986,5.307,0.37,10.58,31.654,-27.382,-26.382,1.076,12.179,0.011,0.011,0.011,0.011,0,0.004,0.538,0.008,2.629,0.003,0.249,,51.165,0.004,0.004,0.004,0.004,0,0.001,0.459,0.002,0.808,0.001,0.407
Polychaeta,Maldanidae,Maldane sarsi,SSDF,Large,,,ST407,PP,PP2,0-5cm,1,333.333,2098.333,6.295,,1.012,1012,1,633.438,140.04,67.54,0.373,19.698,305.499,-22.038,-21.038,1.082,0.003,0.302,0.067,1.9,0.42,1900.314,420.121,633438.003,140040.183,633.438,140.04,91.286,0.372,15.621,417.062,-24.769,-23.769,1.079,2.731,0.011,0.011,0.011,0.011,0,0.009,0.538,0.017,5.687,0.006,0.009,,4.078,0.004,0.004,0.004,0.004,0,0.001,0.459,0.002,0.73,0.001,0.005
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,PP,PP2,0-5cm,1,333.333,847.667,2.543,,1.307,1307,1,271.665,65.198,100.528,0.375,23.166,418.875,-19.921,-18.921,1.084,0.003,0.32,0.077,0.815,0.196,814.996,195.595,271665.412,65198.241,271.665,65.198,93.747,0.373,17.123,365.701,-22.724,-21.724,1.081,2.803,0.011,0.011,0.011,0.011,0,0.013,0.538,0.024,8.005,0.008,0.029,,6.042,0.004,0.004,0.004,0.004,0,0.002,0.459,0.005,1.61,0.002,0.025
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,PP,PP2,5-10cm,1,333.333,106,0.318,,0.318,318,1,24.92,6.427,19.281,0.373,17.052,74.76,-23.218,-22.218,1.08,0.003,0.235,0.061,0.075,0.019,74.76,19.281,24920.165,6427.161,24.92,6.427,71.376,0.372,16.322,304.268,-23.385,-22.385,1.08,0.167,0.011,0.011,0.011,0.011,0,0,0.538,0,0.085,0,0.003,,0.73,0.004,0.004,0.004,0.004,0,0,0.459,0,0.037,0,0.006
Nemertea,Nemertea,,P/S,,,,ST407,PP,PP2,0-5cm,1,333.333,1397.333,4.192,,1.085,1085,1,504.266,123.671,96.028,0.374,20.628,391.552,-20.588,-19.588,1.083,0.003,0.361,0.089,1.513,0.371,1512.798,371.013,504266.076,123671.018,504.266,123.671,130.418,0.372,14.969,564.388,-24.906,-23.906,1.078,4.318,0.011,0.011,0.011,0.011,0,0.019,0.538,0.035,11.525,0.012,0.023,,5.659,0.004,0.004,0.004,0.004,0,0.002,0.459,0.004,1.44,0.001,0.012
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,PP,PP2,0-5cm,1,333.333,10,0.03,,0.077,77,3,4.446,1.049,8.075,0.379,35.432,34.237,-17.26,-16.26,1.087,0.003,0.445,0.105,0.013,0.003,13.339,3.146,4446.331,1048.759,4.446,1.049,7.337,0.372,15.469,32.057,-23.885,-22.885,1.08,6.625,0.011,0.011,0.011,0.011,0,0.002,0.538,0.002,0.515,0.001,0.045,,19.963,0.004,0.004,0.004,0.004,0,0.001,0.459,0,0.142,0,0.053
Polychaeta,unidentified,unidentified,,,,,ST407,PP,PP2,0-5cm,,,217.333,0.652,,,0,,73.276,17.837,,,,,,,,0.003,0.337,0.082,0.22,0.054,219.829,53.51,73276.246,17836.507,73.276,17.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,,SDF,,,,ST407,PP,PP3,0-5cm,1,333.333,81.667,0.245,,0.245,245,1,23.471,5.465,16.394,0.373,19.167,70.414,-20.098,-19.098,1.084,0.003,0.287,0.067,0.07,0.016,70.414,16.394,23471.478,5464.716,23.471,5.465,70.626,0.372,14.253,347.887,-25.021,-24.021,1.078,4.922,0.011,0.011,0.011,0.011,0,0.004,0.538,0.007,2.363,0.002,0.101,,4.914,0.004,0.004,0.004,0.004,0,0,0.459,0.001,0.213,0,0.039
Polychaeta,Cirratulidae,,FF/SDF,,,,ST407,PP,PP3,5-10cm,1,333.333,1090.333,3.271,,3.271,3271,1,392.81,86.287,258.861,0.371,13.115,1178.429,-24.351,-23.351,1.079,0.003,0.36,0.079,1.178,0.259,1178.429,258.861,392809.624,86286.864,392.81,86.287,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,0.968,0.011,0.011,0.011,0.011,0,0.013,0.538,0.023,7.778,0.008,0.02,,2.328,0.004,0.004,0.004,0.004,0,0.002,0.459,0.005,1.597,0.002,0.019
Polychaeta,Cirratulidae,,FF/SDF,,,,ST407,PP,PP3,5-10cm,1,333.333,356.333,1.069,,1.069,1069,1,88.111,20.336,61.009,0.372,16.195,264.333,-23.873,-22.873,1.08,0.003,0.247,0.057,0.264,0.061,264.333,61.009,88110.888,20336.427,88.111,20.336,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,1.447,0.011,0.011,0.011,0.011,0,0.004,0.538,0.008,2.607,0.003,0.03,,5.408,0.004,0.004,0.004,0.004,0,0.001,0.459,0.003,0.874,0.001,0.043
Crustacea,Diastylidae,,FF/SDF,,,,ST407,PP,PP3,0-5cm,1,333.333,10.333,0.031,,,0,,4.2,0.479,,,,,,,,0.003,0.406,0.046,0.013,0.001,12.599,1.436,4199.563,478.726,4.2,0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea,Nemertea,,P/S,,,,ST407,PP,PP3,0-5cm,1,333.333,82.667,0.248,,0.248,248,1,34.265,8.388,25.164,0.39,64.806,102.796,-2.213,-1.213,1.103,0.003,0.414,0.101,0.103,0.025,102.796,25.164,34265.322,8387.898,34.265,8.388,130.418,0.372,14.969,564.388,-24.906,-23.906,1.078,22.693,0.011,0.011,0.011,0.011,0,0.026,0.538,0.048,15.899,0.016,0.464,,49.837,0.004,0.004,0.004,0.004,0,0.005,0.459,0.01,3.323,0.003,0.396
Polychaeta,Paraonidae,Paraonides nordica,SDF,,,,ST407,PP,PP3,5-10cm,1,333.333,12.667,0.038,,,0,,4.271,1.04,,,,,,,,0.003,0.337,0.082,0.013,0.003,12.812,3.119,4270.701,1039.551,4.271,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Pseudotanaidae,,SDF,,,,ST407,PP,PP3,0-5cm,1,333.333,40.667,0.122,,0.122,122,1,16.422,1.869,5.606,0.372,14.511,49.267,-26.735,-25.735,1.076,0.003,0.404,0.046,0.049,0.006,49.267,5.606,16422.359,1868.602,16.422,1.869,2.999,0.371,13.823,13.247,-25.386,-24.386,1.078,-1.349,0.011,0.011,0.011,0.011,0,-0.001,0.538,-0.001,-0.453,0,-0.028,,0.688,0.004,0.004,0.004,0.004,0,0,0.459,0,0.01,0,0.005
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,Medium,,,ST407,PP,PP3,0-5cm,1,333.333,15.333,0.046,,,0,,5.17,1.258,,,,,,,,0.003,0.337,0.082,0.016,0.004,15.509,3.775,5169.796,1258.404,5.17,1.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,PP,PP3,0-5cm,1,333.333,58.333,0.175,,0.175,175,1,28.278,4.182,12.545,0.376,27.01,84.833,-14.729,-13.729,1.09,0.003,0.485,0.072,0.085,0.013,84.833,12.545,28277.611,4181.558,28.278,4.182,48.233,0.371,12.354,268.5,-23.999,-22.999,1.079,9.27,0.011,0.011,0.011,0.011,0,0.009,0.538,0.016,5.36,0.005,0.19,,14.656,0.004,0.004,0.004,0.004,0,0.001,0.459,0.001,0.487,0,0.117
Polychaeta,Ampharetidae ,Amage sp.,SDF,Large,,,ST407,PP,PP4,0-5cm,1,333.333,281,0.843,,0.843,843,1,101.18,19.837,59.511,2.295,5389.549,303.54,1948.944,1949.944,3.192,0.003,0.36,0.071,0.304,0.06,303.54,59.511,101180.114,19836.884,101.18,19.837,96.208,0.371,12.419,578.075,-26.808,-25.808,1.076,1975.752,0.033,0.011,0.032,0.011,0.021,6.452,0.538,12.002,4000.69,4.001,39.54,,5377.131,0.023,0.004,0.023,0.004,0.019,1.145,0.459,2.495,831.665,0.832,41.925
Crustacea,Diastylidae,,FF/SDF,,,,ST407,PP,PP4,0-5cm,2,666.667,91,0.273,,0.273,273,1,15.17,2.909,8.728,0.395,77.838,45.51,-5.903,-4.903,1.099,0.003,0.167,0.032,0.046,0.009,45.51,8.728,15170.086,2909.207,15.17,2.909,10.053,0.369,8.692,88.191,-26.479,-25.479,1.077,20.576,0.011,0.011,0.011,0.011,0,0.01,0.538,0.019,6.382,0.006,0.421,,69.146,0.004,0.004,0.004,0.004,0,0.002,0.459,0.005,1.599,0.002,0.55
Sipuncula,Sipuncula,,SDF,,,,ST407,PP,PP4,0-5cm,1,333.333,253,0.759,,0.759,759,1,67.161,17.232,51.697,0.396,82.6,201.483,-5.397,-4.397,1.1,0.003,0.265,0.068,0.201,0.052,201.483,51.697,67161.141,17232.409,67.161,17.232,16.376,0.372,14.861,73.922,-25.061,-24.061,1.078,19.664,0.011,0.011,0.011,0.011,0,0.044,0.538,0.081,27.003,0.027,0.402,,67.739,0.004,0.004,0.004,0.004,0,0.013,0.459,0.028,9.278,0.009,0.538
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,Medium,,,ST407,PP,PP4,0-5cm,1,333.333,137,0.411,,0.411,411,1,45.638,11.205,33.614,1.123,2090.151,136.914,1117.242,1118.242,2.312,0.003,0.333,0.082,0.137,0.034,136.914,33.614,45637.852,11204.705,45.638,11.205,18.63,0.371,13.188,76.535,-24.498,-23.498,1.079,1141.74,0.024,0.011,0.023,0.011,0.012,1.697,0.538,3.157,1052.289,1.052,23.057,,2076.963,0.011,0.004,0.011,0.004,0.008,0.253,0.459,0.551,183.624,0.184,16.388
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,PP,PP4,0-5cm,1,333.333,8.667,0.026,,,0,,1.758,0.402,,,,,,,,0.003,0.203,0.046,0.005,0.001,5.275,1.207,1758.385,402.444,1.758,0.402,,,,,,,,,,,,,,,,0.002,0.515,0.001,0.045,,,,,,,,,,0,0.142,0,0.053
Polychaeta,unidentified,unidentified,,,,,ST407,PP,PP4,5-10cm,,,263,0.789,,,0,,88.673,21.584,,,,,,,,0.003,0.337,0.082,0.266,0.065,266.02,64.753,88673.248,21584.362,88.673,21.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST407,PP,PP4,0-5cm,1,333.333,6.667,0.02,,,0,,1.687,0.443,,,,,,,,0.003,0.253,0.067,0.005,0.001,5.061,1.33,1687.16,443.351,1.687,0.443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,Amage sp.,SDF,Large,,,ST407,PP,PP5,0-5cm,1,333.333,651,1.953,,1.953,1953,1,297.525,47.624,142.871,1.288,2548.242,892.574,729.008,730.008,1.896,0.003,0.457,0.073,0.893,0.143,892.574,142.871,297524.642,47623.825,297.525,47.624,96.208,0.371,12.419,578.075,-26.808,-25.808,1.076,755.816,0.019,0.011,0.019,0.011,0.008,7.356,0.538,13.683,4560.869,4.561,15.329,,2535.823,0.013,0.004,0.013,0.004,0.009,1.31,0.459,2.854,951.312,0.951,19.976
Polychaeta,Capitellidae,,FF/SDF,,,,ST407,PP,PP5,0-5cm,1,333.333,210.667,0.632,,0.632,632,1,82.224,15.199,45.597,0.379,36.042,246.671,-20.172,-19.172,1.084,0.003,0.39,0.072,0.247,0.046,246.671,45.597,82223.622,15199.111,82.224,15.199,28.716,0.372,15.329,119.102,-24.644,-23.644,1.079,4.471,0.011,0.011,0.011,0.011,0,0.012,0.538,0.023,7.519,0.008,0.091,,20.713,0.004,0.004,0.004,0.004,0,0.003,0.459,0.008,2.503,0.003,0.165
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,PP,PP5,5-10cm,1,333.333,2729.333,8.188,,2.353,2353,1,1008.646,226.718,195.457,0.373,19.617,869.569,-21.758,-20.758,1.082,0.003,0.37,0.083,3.026,0.68,3025.937,680.155,1008645.712,226718.293,1008.646,226.718,79.941,0.372,16.475,332.038,-23.133,-22.133,1.08,1.375,0.011,0.011,0.011,0.011,0,0.013,0.538,0.024,8.15,0.008,0.008,,3.142,0.004,0.004,0.004,0.004,0,0.002,0.459,0.005,1.627,0.002,0.007
